原始分	等级	Y1	Y2	T1	T2	转换分
79	=LOOKUP(1,0/(RANK(A53,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B53,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B53,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B53,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B53,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E53*(A53-D53)+F53*(C53-A53))/(C53-D53)
65	=LOOKUP(1,0/(RANK(A54,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B54,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B54,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B54,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B54,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E54*(A54-D54)+F54*(C54-A54))/(C54-D54)
50	=LOOKUP(1,0/(RANK(A55,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B55,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B55,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B55,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B55,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E55*(A55-D55)+F55*(C55-A55))/(C55-D55)
58	=LOOKUP(1,0/(RANK(A56,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B56,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B56,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B56,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B56,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E56*(A56-D56)+F56*(C56-A56))/(C56-D56)
43	=LOOKUP(1,0/(RANK(A57,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B57,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B57,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B57,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B57,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E57*(A57-D57)+F57*(C57-A57))/(C57-D57)
67	=LOOKUP(1,0/(RANK(A58,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B58,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B58,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B58,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B58,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E58*(A58-D58)+F58*(C58-A58))/(C58-D58)
56	=LOOKUP(1,0/(RANK(A59,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B59,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B59,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B59,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B59,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E59*(A59-D59)+F59*(C59-A59))/(C59-D59)
56	=LOOKUP(1,0/(RANK(A60,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B60,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B60,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B60,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B60,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E60*(A60-D60)+F60*(C60-A60))/(C60-D60)
67	=LOOKUP(1,0/(RANK(A61,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B61,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B61,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B61,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B61,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E61*(A61-D61)+F61*(C61-A61))/(C61-D61)
57	=LOOKUP(1,0/(RANK(A62,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B62,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B62,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B62,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B62,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E62*(A62-D62)+F62*(C62-A62))/(C62-D62)
53	=LOOKUP(1,0/(RANK(A63,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B63,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B63,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B63,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B63,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E63*(A63-D63)+F63*(C63-A63))/(C63-D63)
62	=LOOKUP(1,0/(RANK(A64,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B64,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B64,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B64,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B64,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E64*(A64-D64)+F64*(C64-A64))/(C64-D64)
73	=LOOKUP(1,0/(RANK(A65,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B65,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B65,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B65,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B65,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E65*(A65-D65)+F65*(C65-A65))/(C65-D65)
61	=LOOKUP(1,0/(RANK(A66,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B66,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B66,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B66,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B66,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E66*(A66-D66)+F66*(C66-A66))/(C66-D66)
42	=LOOKUP(1,0/(RANK(A67,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B67,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B67,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B67,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B67,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E67*(A67-D67)+F67*(C67-A67))/(C67-D67)
46	=LOOKUP(1,0/(RANK(A68,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B68,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B68,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B68,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B68,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E68*(A68-D68)+F68*(C68-A68))/(C68-D68)
61	=LOOKUP(1,0/(RANK(A69,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B69,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B69,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B69,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B69,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E69*(A69-D69)+F69*(C69-A69))/(C69-D69)
67	=LOOKUP(1,0/(RANK(A70,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B70,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B70,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B70,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B70,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E70*(A70-D70)+F70*(C70-A70))/(C70-D70)
57	=LOOKUP(1,0/(RANK(A71,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B71,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B71,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B71,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B71,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E71*(A71-D71)+F71*(C71-A71))/(C71-D71)
56	=LOOKUP(1,0/(RANK(A72,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B72,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B72,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B72,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B72,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E72*(A72-D72)+F72*(C72-A72))/(C72-D72)
59	=LOOKUP(1,0/(RANK(A73,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B73,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B73,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B73,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B73,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E73*(A73-D73)+F73*(C73-A73))/(C73-D73)
59	=LOOKUP(1,0/(RANK(A74,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B74,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B74,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B74,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B74,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E74*(A74-D74)+F74*(C74-A74))/(C74-D74)
52	=LOOKUP(1,0/(RANK(A75,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B75,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B75,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B75,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B75,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E75*(A75-D75)+F75*(C75-A75))/(C75-D75)
45	=LOOKUP(1,0/(RANK(A76,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B76,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B76,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B76,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B76,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E76*(A76-D76)+F76*(C76-A76))/(C76-D76)
53	=LOOKUP(1,0/(RANK(A77,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B77,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B77,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B77,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B77,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E77*(A77-D77)+F77*(C77-A77))/(C77-D77)
51	=LOOKUP(1,0/(RANK(A78,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B78,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B78,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B78,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B78,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E78*(A78-D78)+F78*(C78-A78))/(C78-D78)
52	=LOOKUP(1,0/(RANK(A79,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B79,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B79,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B79,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B79,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E79*(A79-D79)+F79*(C79-A79))/(C79-D79)
50	=LOOKUP(1,0/(RANK(A80,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B80,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B80,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B80,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B80,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E80*(A80-D80)+F80*(C80-A80))/(C80-D80)
48	=LOOKUP(1,0/(RANK(A81,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B81,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B81,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B81,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B81,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E81*(A81-D81)+F81*(C81-A81))/(C81-D81)
37	=LOOKUP(1,0/(RANK(A82,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B82,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B82,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B82,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B82,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E82*(A82-D82)+F82*(C82-A82))/(C82-D82)
60	=LOOKUP(1,0/(RANK(A83,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B83,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B83,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B83,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B83,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E83*(A83-D83)+F83*(C83-A83))/(C83-D83)
40	=LOOKUP(1,0/(RANK(A84,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B84,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B84,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B84,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B84,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E84*(A84-D84)+F84*(C84-A84))/(C84-D84)
53	=LOOKUP(1,0/(RANK(A85,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B85,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B85,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B85,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B85,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E85*(A85-D85)+F85*(C85-A85))/(C85-D85)
49	=LOOKUP(1,0/(RANK(A86,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B86,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B86,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B86,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B86,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E86*(A86-D86)+F86*(C86-A86))/(C86-D86)
66	=LOOKUP(1,0/(RANK(A87,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B87,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B87,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B87,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B87,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E87*(A87-D87)+F87*(C87-A87))/(C87-D87)
55	=LOOKUP(1,0/(RANK(A88,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B88,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B88,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B88,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B88,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E88*(A88-D88)+F88*(C88-A88))/(C88-D88)
57	=LOOKUP(1,0/(RANK(A89,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B89,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B89,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B89,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B89,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E89*(A89-D89)+F89*(C89-A89))/(C89-D89)
71	=LOOKUP(1,0/(RANK(A90,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B90,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B90,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B90,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B90,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E90*(A90-D90)+F90*(C90-A90))/(C90-D90)
50	=LOOKUP(1,0/(RANK(A91,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B91,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B91,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B91,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B91,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E91*(A91-D91)+F91*(C91-A91))/(C91-D91)
43	=LOOKUP(1,0/(RANK(A92,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B92,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B92,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B92,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B92,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E92*(A92-D92)+F92*(C92-A92))/(C92-D92)
48	=LOOKUP(1,0/(RANK(A93,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B93,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B93,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B93,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B93,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E93*(A93-D93)+F93*(C93-A93))/(C93-D93)
58	=LOOKUP(1,0/(RANK(A94,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B94,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B94,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B94,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B94,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E94*(A94-D94)+F94*(C94-A94))/(C94-D94)
84	=LOOKUP(1,0/(RANK(A95,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B95,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B95,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B95,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B95,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E95*(A95-D95)+F95*(C95-A95))/(C95-D95)
63	=LOOKUP(1,0/(RANK(A96,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B96,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B96,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B96,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B96,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E96*(A96-D96)+F96*(C96-A96))/(C96-D96)
74	=LOOKUP(1,0/(RANK(A97,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B97,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B97,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B97,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B97,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E97*(A97-D97)+F97*(C97-A97))/(C97-D97)
48	=LOOKUP(1,0/(RANK(A98,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B98,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B98,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B98,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B98,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E98*(A98-D98)+F98*(C98-A98))/(C98-D98)
48	=LOOKUP(1,0/(RANK(A99,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B99,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B99,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B99,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B99,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E99*(A99-D99)+F99*(C99-A99))/(C99-D99)
49	=LOOKUP(1,0/(RANK(A100,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B100,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B100,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B100,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B100,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E100*(A100-D100)+F100*(C100-A100))/(C100-D100)
65	=LOOKUP(1,0/(RANK(A101,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B101,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B101,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B101,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B101,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E101*(A101-D101)+F101*(C101-A101))/(C101-D101)
